,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,apns,bb6,v0,187,v1,0.9010238907849829,0.8862275449101796,0.9010238907849829,0.9006878445786295,0.8979840600093765,0.030716723549488067
1,svm,apns,bb6,v0,187,v1,0.8361774744027304,0.7879581151832461,0.8361774744027304,0.8325172997348578,0.8262658227848101,0.11262798634812288
2,RandomForest,apns,bb6,v0,0c1,v2,0.8294392523364486,0.7698209718670077,0.8294392523364486,0.830307818950352,0.8313882667295376,0.039719626168224276
3,svm,apns,bb6,v0,0c1,v2,0.7441588785046729,0.6296992481203008,0.7441588785046729,0.7421394859880147,0.7717928854908697,0.2044392523364486
4,RandomForest,apns,bb6,v0,557,v3,0.8294392523364486,0.7698209718670077,0.8294392523364486,0.830307818950352,0.8313882667295376,0.039719626168224276
5,svm,apns,bb6,v0,557,v3,0.7441588785046729,0.6296992481203008,0.7441588785046729,0.7421394859880147,0.7717928854908697,0.2044392523364486
6,RandomForest,apns,bb6,v0,153,v4,0.8235294117647058,0.7783018867924528,0.8235294117647058,0.824050662600121,0.8248361434932706,0.03218645948945614
7,svm,apns,bb6,v0,153,v4,0.7114317425083241,0.6104746317512275,0.7114317425083241,0.7032587602012729,0.7369740331215291,0.23973362930077685
8,RandomForest,apns,bb6,v0,266,v5,0.7475022706630337,0.702276707530648,0.7475022706630337,0.7477735719467835,0.7503285456379758,0.05631244323342416
9,svm,apns,bb6,v0,266,v5,0.659400544959128,0.5805288461538461,0.659400544959128,0.6365326713345874,0.6796962114373706,0.293369663941871
10,RandomForest,assj,a6b,v0,859,v1,0.8111903952882547,0.7936195352500984,0.8111903952882547,0.7855823994894804,0.6999618726552743,0.16728961377279417
11,svm,assj,a6b,v0,859,v1,0.7772114622267527,0.760779902512186,0.7772114622267527,0.7329276712693615,0.639789654558383,0.2107826480915166
12,RandomForest,assj,a6b,v0,dd0,v2,0.8036529680365296,0.7873473629514159,0.8036529680365296,0.777916078723353,0.6966583331905377,0.168281545829157
13,svm,assj,a6b,v0,dd0,v2,0.7670119166945094,0.752,0.7670119166945094,0.720865065432904,0.6329248394012217,0.21583695289007687
14,RandomForest,assj,a6b,v0,dd1,v3,0.7926759922665757,0.799513316209274,0.7926759922665757,0.7712449085391019,0.6807732850109447,0.12998976458546563
15,svm,assj,a6b,v0,dd1,v3,0.7634481974297737,0.7545742864113199,0.7634481974297737,0.705992212839805,0.598344495521291,0.22108495394063454
16,RandomForest,assj,a6b,v0,302,v4,0.8122174324466407,0.9432048681541582,0.8122174324466407,0.8281780838253676,0.7898504046063654,0.10535169803385547
