,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,apns,bb6,v0,187,v1,0.947098976109215,0.9279279279279279,0.947098976109215,0.9469320565754507,0.9444796061884669,0.029010238907849817
1,RandomForest,apns,bb6,v0,0c1,v2,0.8960280373831776,0.8435897435897436,0.8960280373831776,0.8965468478922713,0.8996620692365122,0.0385514018691589
2,RandomForest,apns,bb6,v0,557,v3,0.8960280373831776,0.8435897435897436,0.8960280373831776,0.8965468478922713,0.8996620692365122,0.0385514018691589
3,RandomForest,apns,bb6,v0,153,v4,0.8834628190899001,0.8280542986425339,0.8834628190899001,0.8838968189291702,0.8881923250112573,0.05216426193118756
4,RandomForest,apns,bb6,v0,266,v5,0.8900999091734787,0.8403508771929824,0.8900999091734787,0.8902216256484387,0.8936723437582966,0.05540417801998182
5,RandomForest,assj,a6b,v0,859,v1,0.964208857175218,0.9594509308930262,0.964208857175218,0.9638087835897511,0.9474081582221209,0.022426095820591185
6,RandomForest,assj,a6b,v0,dd0,v2,0.9535583027063147,0.9582274459974587,0.9535583027063147,0.9532987679147418,0.9404556959944204,0.012139436462857867
7,RandomForest,assj,a6b,v0,dd1,v3,0.9593995223473217,0.955507492661826,0.9593995223473217,0.9588338868320979,0.9377682883191071,0.02490617536676898
8,RandomForest,assj,a6b,v0,302,v4,0.9305015245505205,0.9493733713860281,0.9305015245505205,0.9290781888451602,0.8570508280448141,0.016296919356534545
9,RandomForest,assj,a6b,v0,eee,v5,0.9429770679770679,0.9482295196914806,0.9429770679770679,0.940126148291836,0.8492412667546356,0.033681408681408787
10,RandomForest,joda,639,v0,1ad,v1,0.9155956056580743,0.9181537126430547,0.9155956056580743,0.914929590752529,0.9014868855134037,0.02394629137646298
11,RandomForest,joda,639,v0,f12,v2,0.9349278802264013,0.9343101745143233,0.9349278802264013,0.9344321519302645,0.92216249776705,0.022348000730326834
12,RandomForest,joda,639,v0,c3e,v3,0.9380207201333044,0.9263348802475063,0.9380207201333044,0.9371791334758157,0.920998765106574,0.038071433746287076
13,RandomForest,lafj,7bd,v0,92c,v1,0.9173745173745174,0.8816114681166585,0.9173745173745174,0.9173719225346394,0.9188679558304356,0.04066924066924066
14,RandomForest,lafj,7bd,v0,be1,v2,0.9102627664848786,0.8668515950069348,0.9102627664848786,0.9101706851378584,0.9119511573911727,0.053049082796231994
15,RandomForest,lafj,7bd,v0,d7e,v3,0.9006898192197906,0.8520470206728821,0.9006898192197906,0.8999493971497905,0.8987700898469538,0.07433396764985722
16,RandomForest,lafj,7bd,v0,be9,v4,0.840362456650632,0.8782911944202266,0.840362456650632,0.8405353283234949,0.8267940541503116,0.0034679494350599027
17,RandomForest,lafj,7bd,v0,e4e,v5,0.8703683220882645,0.8808896210873146,0.8703683220882645,0.8690079277756316,0.8498642334493477,0.030306382037385227
18,RandomForest,lafj,7bd,v0,c8e,v6,0.8656959813628422,0.8718729955099422,0.8656959813628422,0.8623702585501056,0.826450362897429,0.0518345952242284
19,RandomForest,lang,294,v0,cff,v1,0.9685651179301097,0.9686916401186422,0.9685651179301097,0.9683463152596464,0.9556004292986774,0.013528437327443354
20,RandomForest,lang,294,v0,951,v2,0.9680684136199592,0.968004368004368,0.9680684136199592,0.9678374843069592,0.9547662984186325,0.014043621528322614
21,RandomForest,lang,294,v0,959,v3,0.9677545896751922,0.9679445172564438,0.9677545896751922,0.967525299147895,0.9544906099232732,0.013808253569747353
22,RandomForest,lang,294,v0,724,v4,0.9674207080409299,0.9668791196818652,0.9674207080409299,0.9671662697285708,0.9534508483372574,0.015093895793311662
23,RandomForest,lang,294,v0,e09,v5,0.962885235707901,0.9582376502002671,0.962885235707901,0.9624190386040654,0.9438791877021607,0.023667949166375157
24,RandomForest,lang,294,v0,e87,v6,0.9599514563106796,0.9547774970350126,0.9599514563106796,0.9593642330330903,0.9380641811052723,0.026471480582524354
25,RandomForest,msg,83f,v0,356,v1,0.9293313069908815,0.9040833104960263,0.9293313069908815,0.9291450396773099,0.9278827917152848,0.0357142857142857
26,RandomForest,msg,83f,v0,bae,v2,0.9349192100538599,0.9081202584995786,0.9349192100538599,0.9348505487423959,0.9349387946594849,0.03276481149012561
27,RandomForest,msg,83f,v0,7d0,v3,0.936543858061012,0.8703095684803002,0.936543858061012,0.9372060167915361,0.9423571584208688,0.03666153706888747
