,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,apns,allProj,v,cp,v,0.8307692307692308,0.752317880794702,0.8307692307692308,0.82489035930814,0.8258845437616387,0.1692307692307693
1,RandomForest,assj,allProj,v,cp,v,0.9047911547911548,0.9027593818984547,0.9047911547911548,0.8894634402468193,0.7109834016251129,0.08517608517608521
2,RandomForest,joda,allProj,v,cp,v,0.8353780747039175,0.8170826437907392,0.8353780747039175,0.806703342779111,0.6897730026714632,0.16431825083510476
3,RandomForest,lafj,allProj,v,cp,v,0.8590950501062861,0.8210336847518642,0.8590950501062861,0.8484876748956799,0.8007443458345262,0.14090494989371394
4,RandomForest,lang,allProj,v,cp,v,0.8672664873388368,0.8613570274636511,0.8672664873388368,0.831974538230206,0.622366575098898,0.13260983829576722
5,RandomForest,msg,allProj,v,cp,v,0.8824289405684754,0.8289090597705087,0.8824289405684754,0.8786820234392096,0.863764062006463,0.11710124500822172
6,RandomForest,uaa,allProj,v,cp,v,0.8235757416644789,0.7185929648241206,0.8235757416644789,0.821150581197156,0.8394648829431438,0.17642425833552117
7,RandomForest,vrapt,allProj,v,cp,v,0.8584293193717277,0.8300768939871424,0.8584293193717277,0.8441994311725637,0.7720706617094214,0.1407329842931937
8,RandomForest,wire,allProj,v,cp,v,0.8788972760091893,0.8462510530749789,0.8788972760091893,0.8710744304442368,0.8225074251408399,0.1184771906793568
